چاروں	NUM
نے	ADP
جب	PRON
تعلیم	NOUN
سے	ADP
فراغت	NOUN
حاصل	NOUN
کی	VERB
اور	CCONJ
اپنے	PRON
اپنے	PRON
علم	NOUN
مےں	ADP
ماہر	ADJ
ہو	VERB
گئے	AUX
تو	PRON
سوچا	VERB
کہ	SCONJ
چلو	X
اب	PRON
ذرا	INTJ
دنیا	NOUN
کی	ADP
سیر	NOUN
کر	VERB
لیں	AUX
اور	CCONJ
راجہ	NOUN
کے	ADP
دربار	NOUN
مےں	ADP
حاضر	ADJ
ہو	VERB
کر	AUX
اپنی	PRON
تعلیم	NOUN
کے	ADP
بل	NOUN
بوتے	NOUN
پر	ADP
کچھ	DET
پیسے	NOUN
کما	VERB
لیں	AUX
اور	CCONJ
شہرت	NOUN
حاصل	NOUN
کر	VERB
لیں	AUX
,	PUNCT
لہذا	CCONJ
یہ	PRON
شہر	NOUN
کی	ADP
جانب	ADP
روانہ	NOUN
ہو	VERB
گئے	AUX
۔	PUNCT

وزیر	PROPN
سیول	PROPN
سپلائیز	PROPN
مسٹر	PART
کاسو	PROPN
وینکٹ	PROPN
کرشنا	PROPN
ریڈی	PROPN
نے	ADP
شہر	NOUN
کی	ADP
چند	DET
دکانات	NOUN
کا	ADP
اچانک	ADV
معائنہ	NOUN
بھی	PART
کیا	VERB
تھا	AUX
لیکن	CCONJ
انتخابات	NOUN
بھی	PART
ہو	VERB
گئے	AUX
اور	CCONJ
نتائج	NOUN
کے	ADP
اعلان	NOUN
کے	ADP
بعد	ADP
نئی	ADJ
حکومت	NOUN
کی	ADP
تشکیل	NOUN
بھی	PART
عمل	NOUN
میں	ADP
آئی	VERB
۔	PUNCT
باوجود	ADP
اس	PRON
کے	ADP
ابھی	PRON
تک	ADP
چاول	NOUN
کی	ADP
قیمتوں	NOUN
پر	ADP
قابو	NOUN
نہیں	PART
پایا	VERB
گیا	AUX
۔	PUNCT
