Не	INTJ
.	PUNCT

Дори	PART
и	CCONJ
с	ADP
такъв	DET
стабилен	ADJ
икономически	ADJ
растеж	NOUN
обаче	ADV
повечето	ADV
кандидати	NOUN
ще	AUX
останат	VERB
много	ADV
по-бедни	ADJ
от	ADP
сегашните	ADJ
членове	NOUN
на	ADP
ЕС	PROPN
,	PUNCT
се	PRON
изтъква	VERB
в	ADP
проучването	NOUN
.	PUNCT

Колкото	ADV
до	ADP
тях	PRON
няма	VERB
да	AUX
е	AUX
далече	ADV
от	ADP
истината	NOUN
,	PUNCT
ако	SCONJ
кажем	VERB
,	PUNCT
че	SCONJ
те	PRON
присъстват	VERB
в	ADP
извънпарламентарното	ADJ
пространство	NOUN
само	ADV
с	ADP
ръководствата	NOUN
си	PRON
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT
