Please	INTJ
let	VERB
me	PRON
know	VERB
if	SCONJ
you	PRON
are	AUX
interested	ADJ
in	ADP
any	DET
of	ADP
these	DET
games	NOUN
.	PUNCT

And	CCONJ
,	PUNCT
your	PRON
investment	NOUN
is	AUX
only	ADV
$	SYM
6.00	NUM
(	PUNCT
Plus	CCONJ
postage	NOUN
)	PUNCT
!!!	PUNCT

60	NUM
-	PUNCT
Percentage	NOUN
of	ADP
Iraq	PROPN
's	PART
urban	ADJ
areas	NOUN
with	ADP
access	NOUN
to	ADP
potable	ADJ
water	NOUN
in	ADP
late	ADJ
2003	NUM
.	PUNCT

In	ADP
a	DET
future	ADJ
study	NOUN
,	PUNCT
it	PRON
is	AUX
also	ADV
important	ADJ
to	PART
consider	VERB
if	SCONJ
additional	ADJ
training	NOUN
in	ADP
the	DET
difference	NOUN
between	SCONJ
reporting	VERB
on	ADP
felicity	NOUN
and	CCONJ
truth	NOUN
value	NOUN
judgments	NOUN
would	AUX
impact	VERB
results	NOUN
,	PUNCT
or	CCONJ
if	SCONJ
more	ADJ
naturalistic	ADJ
experimental	ADJ
conditions	NOUN
(	PUNCT
e.g.	X
,	PUNCT
demonstrating	VERB
actions	NOUN
using	VERB
real	ADJ
objects	NOUN
instead	ADV
of	ADP
two-dimensional	ADJ
depictions	NOUN
)	PUNCT
would	AUX
be	AUX
beneficial	ADJ
.	PUNCT
