Merci	INTJ
pour	ADP
tout	PRON
;-)	SYM

Rattaché	VERB
alors	ADV
à	ADP
la	DET
Scouting	X
Force	X
,	PUNCT
c'	PRON
est	AUX
à	ADP
son	DET
bord	NOUN
que	SCONJ
périrent	VERB
les	DET
premiers	ADJ
marins	NOUN
lors	ADV
de	ADP
l'	DET
attaque	NOUN
de	ADP
Pearl	PROPN
Harbor	PROPN
le	DET
7	NUM
décembre	NOUN
1941	NUM
,	PUNCT
mais	CCONJ
c'	PRON
est	AUX
aussi	ADV
ce	DET
bâtiment	NOUN
qui	PRON
abattit	VERB
le	DET
premier	ADJ
avion	NOUN
japonais	ADJ
.	PUNCT

Ma	CCONJ
c'	PRON
est	AUX
aussi	ADV
une	DET
tragédie	NOUN
pour	ADP
les	DET
gens	NOUN
qui	PRON
les	PRON
mangent	VERB
parce	SCONJ
qu'	SCONJ
ils	PRON
ne	PART
savent	VERB
pas	ADV
que	SCONJ
c'	PRON
est	AUX
de	ADP
la	DET
viande	NOUN
toxique	ADJ
.	PUNCT
