Не	PART
се	PRON
плаши	VERB
,	PUNCT
ще	AUX
те	PRON
отмъкна	VERB
,	PUNCT
без	ADP
никой	PRON
да	AUX
забележи	VERB
.	PUNCT

В	ADP
16,25	NUM
ч	NOUN
родителите	NOUN
отново	ADV
се	PRON
обадиха	VERB
и	CCONJ
казаха	VERB
,	PUNCT
че	SCONJ
състоянието	NOUN
му	PRON
е	AUX
много	ADV
тежко	ADJ
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

С	ADP
най-големи	ADJ
шансове	NOUN
да	AUX
заиграе	VERB
в	ADP
Италия	PROPN
е	VERB
нападателят	NOUN
Палермо	PROPN
,	PUNCT
който	PRON
вкара	VERB
двата	NUM
гола	NOUN
на	ADP
"	PUNCT
Реал	PROPN
"	PUNCT
(	PUNCT
М	PROPN
)	PUNCT
във	ADP
финала	NOUN
за	ADP
Междуконтиненталната	ADJ
купа	NOUN
.	PUNCT

Този	DET
обект	NOUN
се	PRON
строи	VERB
незаконно	ADV
.	PUNCT

-	PUNCT
Да	INTJ
.	PUNCT
