بله	INTJ
،	PUNCT
آشناییزدایی	NOUN
شد	AUX
.	PUNCT

درست	ADJ
نیم	NOUN
قرن	NOUN
قبل	ADV
از	ADP
آن	PRON
که	CCONJ
انگلیسیها	NOUN
قانونی	NOUN
را	PART
در	ADP
ارتباط	NOUN
با	ADP
بناهای	NOUN
تاریخی	ADJ
وضع	NOUN
کنند	VERB
،	PUNCT
یک	NUM
اعلامیه	NOUN
جهانی	ADJ
برای	ADP
حفاظت	NOUN
و	CCONJ
استرداد	NOUN
آثار	NOUN
پارتنون	NOUN
و	CCONJ
سایر	NOUN
معابدی	NOUN
که	SCONJ
آثار	NOUN
آن	PRON
در	ADP
انگلیس	NOUN
است	VERB
منتشر	ADJ
شد	AUX
.	PUNCT

شهدالله	X
اگر	SCONJ
هزاران	NUM
دلار	NOUN
و	CCONJ
مارک	NOUN
به	ADP
جرائد	NOUN
میداد	VERB
اینهمه	ADV
اسم	NOUN
قالی	NOUN
بهارستان	NOUN
یک	NUM
هفته	NOUN
تمام	ADJ
در	ADP
جرائد	NOUN
برده	VERB
نمیشد	VERB
و	CCONJ

در	ADP
ادامه	NOUN
چهاردهمین	ADJ
دوره	NOUN
مسابقههای	NOUN
تکواندو	NOUN
قهرمانی	NOUN
آسیا	NOUN
و	CCONJ
اقیانوسیه	NOUN
که	SCONJ
در	ADP
هنگکنگ	NOUN
جریان	NOUN
دارد	VERB
،	PUNCT
روز	NOUN
دوشنبه	NOUN
دو	NUM
تن	NOUN
از	ADP
تکواندوکاران	NOUN
کشورمان	NOUN
با	ADP
شکست	NOUN
از	ADP
رقبای	NOUN
خود	PRON
از	ADP
دور	NOUN
این	DET
مسابقهها	NOUN
کنار	ADP
رفتند	VERB
.	PUNCT

رهبر	NOUN
گروه	NOUN
موسوم	ADJ
به	ADP
امت	NOUN
اسلام	NOUN
که	SCONJ
در	ADP
آمریکا	NOUN
فعالیت	NOUN
دارد	VERB
،	PUNCT
ضمن	ADP
رد	NOUN
دست	NOUN
داشتن	NOUN
در	ADP
قتل	NOUN
مالکومایکس	NOUN
از	ADP
دختر	NOUN
وی	PRON
عذرخواهی	NOUN
کرد	VERB
.	PUNCT
