Please	INTJ
let	VERB
me	PRON
know	VERB
of	ADP
your	PRON
availability	NOUN
.	PUNCT

My	PRON
take	NOUN
is	VERB
that	SCONJ
the	DET
UDCs	NOUN
will	AUX
be	AUX
indifferent	ADJ
to	ADP
this	PRON
(	PUNCT
maybe	ADV
?	PUNCT
)	PUNCT
and	CCONJ
our	PRON
#	SYM
1	NUM
priority	NOUN
is	VERB
to	PART
work	VERB
to	PART
get	VERB
the	DET
PG&E	PROPN
model	NOUN
adopted	VERB
across	ADP
the	DET
state	NOUN
.	PUNCT

Formica	X
fusca	X
,	PUNCT
from	ADP
file	NOUN
.	PUNCT

Due	ADJ
to	PART
its	PRON
remarkable	ADJ
biodiversity	NOUN
,	PUNCT
with	ADP
over	ADV
a	DET
third	NOUN
of	ADP
the	DET
local	ADJ
plant	NOUN
species	NOUN
found	VERB
nowhere	ADV
else	ADV
,	PUNCT
Socotra	PROPN
has	AUX
been	AUX
designated	VERB
a	DET
UNESCO	PROPN
World	PROPN
Heritage	PROPN
Site	PROPN
.	PUNCT
