いや	INTJ
、	PUNCT
そんな	ADJ
ちゃんと	ADV
握	VERB
れ	AUX
て	SCONJ
いる	AUX
わけ	NOUN
で	AUX
は	ADP
ない	AUX
ので	SCONJ
、	PUNCT
ちゃんと	ADV
掛かっ	VERB
て	SCONJ
る	AUX
わけ	NOUN
で	AUX
は	ADP
ない	AUX
けど	SCONJ
、	PUNCT
まあ	ADV
距離	NOUN
が	ADP
割	NOUN
と	ADP
いい	ADJ
距離	NOUN
だっ	AUX
た	AUX
ん	SCONJ
で	AUX
。	PUNCT

黄	PROPN
龍	PROPN
陣	NOUN
の	ADP
復活	NOUN
は	ADP
、	PUNCT
本書	NOUN
第	PART
三	NUM
景	NOUN
「	PUNCT
もっちゃん	PROPN
」	PUNCT
の	ADP
ラストシーン	NOUN
において	ADP
示唆	VERB
さ	AUX
れ	AUX
て	SCONJ
いる	AUX
。	PUNCT

駅	NOUN
から	ADP
近かっ	ADJ
た	AUX
ので	SCONJ
、	PUNCT
殆ど	ADV
の	ADP
人	NOUN
は	ADP
問題	NOUN
が	ADP
なかっ	ADJ
た	AUX
の	SCONJ
です	AUX
が	SCONJ
、	PUNCT
こちら	PRON
の	ADP
専用	NOUN
駐車場	NOUN
が	ADP
なかっ	ADJ
た	AUX
ので	SCONJ
、	PUNCT
車	NOUN
を	ADP
利用	VERB
し	AUX
た	AUX
方	NOUN
は	ADP
ちょっと	ADV
不便	ADJ
そう	AUX
でし	AUX
た	AUX
。	PUNCT

しかし	CCONJ
、	PUNCT
1995	NUM
年	NOUN
の	ADP
時点	NOUN
で	ADP
高校生	NOUN
だっ	AUX
た	AUX
主人公	NOUN
、	PUNCT
辰木桂	PROPN
は	ADP
まだ	ADV
神戸	PROPN
に	ADP
引っ越す	VERB
前	NOUN
で	ADP
阪神	PROPN
・	SYM
淡路	PROPN
大震災	NOUN
を	ADP
直接	ADV
経験	VERB
し	AUX
て	SCONJ
い	AUX
ない	AUX
という	ADP
設定	NOUN
の	ADP
ため	NOUN
、	PUNCT
作中	NOUN
で	ADP
の	ADP
震災	NOUN
の	ADP
話	NOUN
は	ADP
、	PUNCT
桂	PROPN
が	ADP
被害	NOUN
の	ADP
爪痕	NOUN
を	ADP
見る	VERB
こと	SCONJ
か	PART
、	PUNCT
直接	ADV
体験	VERB
し	AUX
た	AUX
桂	PROPN
の	ADP
友人	NOUN
、	PUNCT
金城	PROPN
和歌子	PROPN
と	ADP
その	DET
恋人	NOUN
、	PUNCT
林	PROPN
浩	PROPN
の	ADP
2	NUM
人	NOUN
が	ADP
中心	NOUN
と	ADP
なっ	VERB
て	SCONJ
体験談	NOUN
を	ADP
語る	VERB
形	NOUN
で	ADP
描か	VERB
れ	AUX
て	SCONJ
いる	AUX
。	PUNCT
