Riêng	PART
với	ADP
các	DET
cơquan	NOUN
đạidiện	VERB
ngoạigiao	NOUN
VN	NOUN
ở	ADP
nướcngoài	NOUN
,	PUNCT
nâng	VERB
cao	ADJ
nghĩavụ	NOUN
của	ADP
mình	PROPN
trong	ADP
việc	NOUN
bảohộ	VERB
côngdân	NOUN
.	PUNCT

quý	NOUN
1	NUM
là	AUX
thờiđiểm	NOUN
biểuhiện	VERB
rõ	ADJ
nhất	ADJ
sự	NOUN
thiếu	VERB
bềnvững	ADJ
này	PROPN
"	PUNCT
.	PUNCT

ông	NOUN
Phong	NOUN
kinhngạc	VERB
:	PUNCT
"	PUNCT
Ô	INTJ
!	PUNCT

Thắng	NOUN
xuấthiện	VERB
trong	ADP
cuộcchơi	NOUN
là	CCONJ
một	NUM
gã	NOUN
đốt	VERB
tiền	NOUN
như	CCONJ
giấy	NOUN
,	PUNCT
lạnhlùng	ADJ
,	PUNCT
không	X
háo	VERB
sắc	NOUN
,	PUNCT
nhonhã	ADJ
,	PUNCT
khíkhái	ADJ
và	SCONJ
đầy	ADJ
tâmtư	NOUN
.	PUNCT

Tuấn	NOUN
đã	X
vài	DET
lần	NOUN
rủ	VERB
đào	NOUN
hít	VERB
cùng	ADJ
cho	ADP
đỡ	VERB
nhớ	VERB
nhà	NOUN
,	PUNCT
đỡ	VERB
căngthẳng	ADJ
...	PUNCT
