இந்தப்	DET
புதிய	ADJ
சட்டம்	NOUN
சுதந்திர	PROPN
இந்தியாவில்	PROPN
வாழ்வதற்கு	VERB
வழங்கப்	VERB
பட்டு	AUX
உள்ள	ADJ
அடிப்படை	NOUN
உரிமைகளைப்	NOUN
பறிக்கும்	ADJ
வகையில்	NOUN
அமைந்துள்ளது	VERB
.	PUNCT

அதிகாலை	NOUN
4	NUM
மணிக்கு	NOUN
திருக்கோயிலிலிருந்து	NOUN
வெள்ளிப்	NOUN
பல்லக்கில்	NOUN
வைத்து	VERB
கொடி	NOUN
பட்டம்	NOUN
9	NUM
சந்திகள்	NOUN
வழியாக	ADP
வீதி	NOUN
உலா	NOUN
கொண்டு	VERB
வரப்	AUX
பட்டு	AUX
,	PUNCT
அதிகாலை	NOUN
5.20	NUM
மணிக்கு	NOUN
வேதங்கள்	NOUN
ஓத	VERB
,	PUNCT
பஞ்வாத்தியங்கள்	NOUN
முழங்க	VERB
,	PUNCT
பக்தர்களில்	NOUN
ஆரோகரா	NOUN
கோஷத்துடன்	NOUN
,	PUNCT
திருக்கோயிலில்	NOUN
உள்ள	ADJ
செப்பு	NOUN
கொடி	NOUN
மரத்தில்	NOUN
,	PUNCT
சிவாச்சாரியர்களால்	PROPN
ஆவணித்	NOUN
திருவிழா	NOUN
கொடியேற்றப்	VERB
பட்டது	AUX
.	PUNCT

இந்தியாவுக்கு	PROPN
எதிரான	ADP
போட்டியின்	NOUN
போது	PART
800	NUM
டெஸ்ட்	NOUN
விக்கெட்டுகளை	NOUN
வீழ்த்திய	ADJ
முதல்	ADJ
கிரிக்கெட்	PROPN
வீரர்	NOUN
என்ற	PART
பெருமையைப்	NOUN
பெற்ற	ADJ
இலங்கை	PROPN
வீரர்	NOUN
முத்தையா	PROPN
முரளிதரனும்	NOUN
அந்த	DET
விழாவில்	NOUN
கௌரவிக்கப்பட	VERB
உள்ளதாகத்	AUX
தகவல்கள்	NOUN
தெரிவித்தன	VERB
.	PUNCT

தமிழர்களுக்கான	PART
நிவாரணப்	PROPN
பணிகள்	NOUN
மற்றும்	CCONJ
மறு	ADJ
குடியமர்வுக்காக	NOUN
இந்தியா	PROPN
ஏற்கெனவே	ADV
|	NUM
500	NUM
கோடி	NUM
நிதியுதவி	NOUN
அறிவித்துள்ளது	VERB
.	PUNCT

எனவே	ADV
,	PUNCT
நீங்களும்	PRON
தைரியமாக	ADV
இருங்கள்	VERB
.	PUNCT

சாலையில்	NOUN
கிடக்கும்	ADJ
குண்டுகள்	NOUN
மற்றும்	CCONJ
வன்முறைக்கு	NOUN
பொதுமக்கள்	NOUN
பலியாகும்	ADJ
சம்பவங்கள்	NOUN
ஆப்கனில்	PROPN
நாள்தோறும்	ADV
நடைபெற்று	VERB
வருகின்றன	AUX
.	PUNCT

அதிமுக	PROPN
பொதுச்	NOUN
செயலாளர்	NOUN
ஜெயலலிதா	PROPN
,	PUNCT
மதுரையில்	PROPN
அக்டோபர்	NOUN
18-ல்	NUM
நடைபெறும்	ADJ
கட்சி	NOUN
மாநாட்டில்	NOUN
கலந்து	VERB
கொள்வதையொட்டி	AUX
அவருக்கு	PRON
கடந்த	ADJ
ஒரு	ADJ
மாதத்தில்	NOUN
10-க்கும்	NUM
மேற்பட்ட	ADJ
கொலை	NOUN
மிரட்டல்	NOUN
கடிதங்கள்	NOUN
அனுப்பப்	VERB
பட்டன	AUX
.	PUNCT
