À	INTJ
,	PUNCT
mà	CCONJ
chuyện	NOUN
đó	PROPN
cũ	ADJ
hết	X
rồi	X
...	PUNCT
"	PUNCT
.	PUNCT

điểm	NOUN
mới	X
nổibật	ADJ
thứ	NOUN
hai	NUM
ở	ADP
nghịquyết	NOUN
này	PROPN
là	AUX
lần	NOUN
đầutiên	ADJ
đã	X
xácđịnh	VERB
rõ	ADJ
tráchnhiệm	NOUN
của	ADP
nhànước	NOUN
đốivới	ADP
cộngđồng	NOUN
NVƠNN	NOUN
.	PUNCT

Em	NOUN
đang	X
ở	VERB
VN	NOUN
,	PUNCT
đang	X
ở	VERB
HàNội	NOUN
và	SCONJ
đang	X
đứng	VERB
dưới	ADP
cầuthang	NOUN
nhà	NOUN
anh	NOUN
đây	PART
"	PUNCT
.	PUNCT

cái	NOUN
duyêndáng	ADJ
,	PUNCT
nhumì	ADJ
bỗng	X
tiêutan	VERB
thay	VERB
bằng	ADP
những	DET
tiếng	NOUN
rít	VERB
ghê	ADJ
như	CCONJ
rắn	NOUN
.	PUNCT

ngày	NOUN
thứ	NOUN
năm	NUM
Đào	NOUN
điện	VERB
về	VERB
nhà	NOUN
nói	VERB
vắntắt	ADJ
:	PUNCT
"	PUNCT
Con	NOUN
đang	X
chạy	VERB
tiền	NOUN
giúp	VERB
anh	NOUN
Tuấn	NOUN
"	PUNCT
.	PUNCT
