इन	DET
खबरों	NOUN
के	ADP
आधार	NOUN
पर	ADP
आडवाणी	PROPN
ने	ADP
रविवार	PROPN
को	ADP
अपने	PRON
भाषण	NOUN
में	ADP
लोकसभा	NOUN
अध्यक्ष	NOUN
से	ADP
अपील	NOUN
करते	VERB
हुए	AUX
कहा	VERB
कि	SCONJ
संसद	NOUN
में	ADP
इस	DET
मुद्दे	NOUN
पर	ADP
गंभीर	ADJ
और	CCONJ
सार्थक	ADJ
विचार	NOUN
-JOIN	PUNCT
विमर्श	NOUN
किया	VERB
जाना	AUX
चाहिए	AUX
।	PUNCT

सर्वोच्च	PROPN
न्यायालय	PROPN
ने	ADP
दो	NUM
दिन	NOUN
पहले	ADP
ही	PART
बांध	NOUN
की	ADP
ऊंचाई	NOUN
को	ADP
१३६	NUM
फुट	NOUN
से	ADP
बढ़ाकर	VERB
१४२	NUM
फुट	NOUN
करने	VERB
की	ADP
मंजूरी	NOUN
दी	VERB
है	AUX
।	PUNCT

गौरतलब	ADJ
है	AUX
कि	SCONJ
कुछ	DET
महीने	NOUN
पहले	ADP
नौसेना	NOUN
के	ADP
वार	NOUN
रूम	NOUN
से	ADP
कुछ	DET
व्यापारिक	ADJ
महत्व	NOUN
की	ADP
गोपनीय	ADJ
सूचनाएं	NOUN
लीक	X
हो	VERB
गई	AUX
थीं	AUX
।	PUNCT

इनकी	PRON
तालियां	NOUN
पाकर	VERB
निहाल	ADJ
हुए	VERB
शाहिद	PROPN
ने	ADP
शाम	NOUN
को	ADP
अकेले	ADV
अभ्यास	NOUN
करने	VERB
आए	VERB
भारतीय	ADJ
कप्तान	NOUN
को	ADP
इतना	DET
परेशान	ADJ
किया	VERB
कि	SCONJ
उनके	PRON
मुंह	NOUN
से	ADP
वाह	INTJ
निकल	VERB
पड़ी	AUX
।	PUNCT

जाति	NOUN
का	ADP
नाम	NOUN
लिखकर	VERB
उम्मीदवारों	NOUN
की	ADP
फेहरिस्त	NOUN
जारी	ADJ
करने	VERB
का	ADP
जिक्र	NOUN
करते	VERB
हुए	AUX
उन्होंने	PRON
कहा	VERB
कि	SCONJ
कांग्रेस	PROPN
ने	ADP
इस	DET
तरह	NOUN
की	ADP
कोई	PRON
सूची	NOUN
जारी	ADJ
नहीं	PART
की	VERB
।	PUNCT
