אבל	CCONJ
להתרגש	VERB
מהם	PRON
?	PUNCT

לקראת	ADP
הבחירות	NOUN
של	ADP
נובמבר	PROPN
8891	NUM
,	PUNCT
כאשר	SCONJ
סקרי	NOUN
דעת	NOUN
הקהל	NOUN
ניבאו	VERB
לו	PRON
הצלחה	NOUN
של	ADP
שלושה	NUM
עד	ADP
שבעה	NUM
מנדטים	NOUN
,	PUNCT
האמינו	VERB
מעריציו	NOUN
כי	SCONJ
יד	NOUN
אלוהים	NOUN
מפלסת	VERB
את	ADP
מצעדו	NOUN
אל	ADP
כס	NOUN
שר	NOUN
הביטחון	NOUN
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

ממועמדי	X
מפלגת	NOUN
השלטון	NOUN
המצרית	ADJ
הודחו	VERB
מן	ADP
הרשימה	NOUN
לאחר	ADP
שהתברר	VERB
כי	SCONJ
נחשדו	VERB
בשחיתות	NOUN
.	PUNCT

היום	ADV
העולה	NOUN
יודע	VERB
על	ADP
הקיבוץ	NOUN
יותר	ADV
ממה	ADV
שהוא	PRON
יודע	VERB
על	ADP
כל	DET
צורת	NOUN
התיישבות	NOUN
כפרית	ADJ
אחרת	ADJ
.	PUNCT

מה	ADV
שאמור	AUX
היה	AUX
להיות	AUX
מאבק	NOUN
צמרת	NOUN
שקול	ADJ
,	PUNCT
הפך	VERB
במהרה	ADV
למיפגן	NOUN
חד	ADV
-	PUNCT
סיטרי	ADJ
,	PUNCT
בעקבות	ADP
משחק	NOUN
שובה	VERB
עין	NOUN
ותכליתי	ADJ
של	ADP
מכבי	PROPN
ראשל"ץ	PROPN
שניצח	VERB
ללא	ADP
מאמץ	NOUN
09	NUM
931	NUM
.	PUNCT
