Rarará	INTJ
!	PUNCT

Na	ADP
segunda-feira	NOUN
,	PUNCT
a	DET
mãe	NOUN
de	ADP
Christian	PROPN
,	PUNCT
Suzy	PROPN
Fittipaldi	PROPN
,	PUNCT
dissera	VERB
que	SCONJ
gostaria	VERB
de	SCONJ
pedir	VERB
ao	ADP
filho	NOUN
para	SCONJ
que	SCONJ
abandonasse	VERB
as	DET
pistas	NOUN
.	PUNCT

Outro	DET
benefício	NOUN
do	ADP
Vale	PROPN
-	PUNCT
Viagem	PROPN
CVC	PROPN
é	AUX
que	CCONJ
o	DET
cartão	NOUN
pode	AUX
ser	AUX
recarregado	VERB
quantas	DET
vezes	NOUN
o	DET
cliente	NOUN
quiser	VERB
eo	CCONJ
presenteado	NOUN
pode	AUX
consultar	VERB
o	DET
saldo	NOUN
no	ADP
site	NOUN
www.valeviagemcvc.com.br	X
.	PUNCT

Em	ADP
2006	NUM
,	PUNCT
foi	AUX
estimada	VERB
uma	DET
população	NOUN
de	ADP
160	NUM
,	PUNCT
um	DET
decréscimo	NOUN
de	ADP
19	NUM
(	PUNCT
-10.6	NUM
%	SYM
)	PUNCT
.	PUNCT

ZURIQUE	PROPN
,	PUNCT
14	NUM
Set	PROPN
(	PUNCT
Reuters	PROPN
)	PUNCT
--	PUNCT
Oslo	PROPN
é	AUX
a	DET
cidade	NOUN
mais	ADV
cara	ADJ
do	ADP
mundo	NOUN
,	PUNCT
à	ADP
frente	NOUN
de	ADP
Zurique	PROPN
e	CCONJ
Tóquio	PROPN
,	PUNCT
mas	CCONJ
os	DET
moradores	NOUN
bem	ADV
remunerados	VERB
do	ADP
centro	NOUN
financeiro	ADJ
suíço	ADJ
possuem	VERB
o	DET
melhor	ADJ
poder	NOUN
de	ADP
compra	NOUN
,	PUNCT
de	ADP
acordo	NOUN
com	ADP
um	DET
estudo	NOUN
divulgado	VERB
nesta	ADP
sexta	PROPN
-	PUNCT
feira	PROPN
.	PUNCT

Muitos	PRON
deixaram	VERB
o	DET
país	NOUN
antes	ADV
da	ADP
revolução	NOUN
,	PUNCT
enquanto	CCONJ
outros	PRON
começaram	AUX
a	ADP
se	PART
organizar	VERB
.	PUNCT
