Не	INTJ
по	ADP
всяко	DET
време	NOUN
.	PUNCT

Смятате	VERB
ли	PART
,	PUNCT
че	SCONJ
българската	ADJ
икономика	NOUN
е	AUX
конкурентоспособна	ADJ
в	ADP
условията	NOUN
на	ADP
общия	ADJ
пазар	NOUN
?	PUNCT

Около	ADP
150	NUM
издателства	NOUN
и	CCONJ
други	ADJ
фирми	NOUN
ще	AUX
участват	VERB
в	ADP
панаира	NOUN
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Това	DET
писмо	NOUN
стана	VERB
обществено	ADJ
достояние	NOUN
благодарение	NOUN
на	ADP
братовчедка	NOUN
на	ADP
Холънд	PROPN
,	PUNCT
която	PRON
живее	VERB
в	ADP
Ню	PROPN
Йорк	PROPN
.	PUNCT

-	PUNCT
Разговорът	NOUN
ни	PRON
беше	AUX
твърде	ADV
кратък	ADJ
.	PUNCT
