Nee	INTJ
,	PUNCT
ik	PRON
geloof	VERB
dat	SCONJ
ik	PRON
liever	ADV
tien	NUM
jaar	NOUN
Bijlmer	PROPN
uitzit	VERB
dan	SCONJ
drie	NUM
jaar	NOUN
Wigbold	PROPN
in	ADP
Nieuwersluis	PROPN
.	PUNCT

Hij	PRON
heeft	AUX
al	ADV
twee	NUM
boeken	NOUN
over	ADP
hem	PRON
geschreven	VERB
-	PUNCT
o.a.	X
The	PROPN
trials	PROPN
of	PROPN
Oscar	PROPN
Wilde	PROPN
-	PUNCT
en	CCONJ
voegt	VERB
hier	ADV
nog	ADV
slechts	ADV
een	DET
aantal	NOUN
nieuwe	ADJ
bijzonderheden	NOUN
aan	ADP
toe	ADP
.	PUNCT

Dat	SCONJ
er	ADV
400.000	NUM
broodjes	NOUN
verkocht	VERB
waren	AUX
en	CCONJ
50.000	NUM
warme	ADJ
maaltijden	NOUN
.	PUNCT

Luxe	ADJ
uitgaven	NOUN
(	PUNCT
1977-heden	SYM
)	PUNCT
