چاروں	NUM
نے	ADP
جب	PRON
تعلیم	NOUN
سے	ADP
فراغت	NOUN
حاصل	NOUN
کی	VERB
اور	CCONJ
اپنے	PRON
اپنے	PRON
علم	NOUN
مےں	ADP
ماہر	ADJ
ہو	VERB
گئے	AUX
تو	PRON
سوچا	VERB
کہ	SCONJ
چلو	X
اب	PRON
ذرا	INTJ
دنیا	NOUN
کی	ADP
سیر	NOUN
کر	VERB
لیں	AUX
اور	CCONJ
راجہ	NOUN
کے	ADP
دربار	NOUN
مےں	ADP
حاضر	ADJ
ہو	VERB
کر	AUX
اپنی	PRON
تعلیم	NOUN
کے	ADP
بل	NOUN
بوتے	NOUN
پر	ADP
کچھ	DET
پیسے	NOUN
کما	VERB
لیں	AUX
اور	CCONJ
شہرت	NOUN
حاصل	NOUN
کر	VERB
لیں	AUX
,	PUNCT
لہذا	CCONJ
یہ	PRON
شہر	NOUN
کی	ADP
جانب	ADP
روانہ	NOUN
ہو	VERB
گئے	AUX
۔	PUNCT

یہ	PRON
بھی	PART
ممکن	ADJ
ہے	AUX
کہ	SCONJ
وہ	PRON
سیل	NOUN
فونس	NOUN
اور	CCONJ
کمپیوٹرس	NOUN
پر	ADP
برسرعام	ADV
روابط	NOUN
پیدا	ADJ
کرنے	VERB
کی	ADP
کوشش	NOUN
کرے	VERB
اور	CCONJ
اس	DET
علاقہ	NOUN
کی	ADP
صورتحال	NOUN
سے	ADP
واقفیت	NOUN
حاصل	NOUN
کرنا	VERB
چاہے	AUX
۔	PUNCT

ڈیرہ	PROPN
سچکنڈ	PROPN
قائد	NOUN
کی	ADP
ہلاکت	NOUN
کے	ADP
بعد	ADP
پنجاب	PROPN
اور	CCONJ
ہریانہ	PROPN
میں	ADP
سکھوں	NOUN
کے	ADP
درمیان	ADP
پرتشدد	ADJ
واقعات	NOUN
پیش	ADV
آئے	VERB
تھے	AUX
۔	PUNCT
