Riêng	PART
về	ADP
xuấtkhẩu	VERB
laođộng	NOUN
,	PUNCT
anh	NOUN
Luyến	NOUN
có	VERB
cách	NOUN
nghĩ	VERB
riêng	ADJ
:	PUNCT
"	PUNCT
Duhọcsinh	NOUN
đi	VERB
nướcngoài	NOUN
để	ADP
mởmang	VERB
kiếnthức	NOUN
.	PUNCT

đến	ADP
nay	PROPN
ngôi	NOUN
nhà	NOUN
ngói	NOUN
ba	NUM
gian	NOUN
vữngchãi	ADJ
xây	VERB
trên	ADP
nền	NOUN
căn	NOUN
nhà	NOUN
lá	NOUN
.	PUNCT

tiếptục	VERB
đổimới	VERB
và	SCONJ
nâng	VERB
cao	ADJ
côngtác	NOUN
cánbộ	NOUN
.	PUNCT

"	PUNCT
Ủa	INTJ
,	PUNCT
sao	PROPN
em	NOUN
sang	VERB
VN	NOUN
mà	CCONJ
không	X
báo	VERB
cho	ADP
anh	NOUN
?	PUNCT

Cô	NOUN
chỉ	X
là	AUX
một	NUM
nữsinh	NOUN
trunghọc	NOUN
và	SCONJ
mấttích	VERB
đã	X
10	NUM
ngày	NOUN
nay	PROPN
.	PUNCT

Các	DET
thámtử	NOUN
khẳngđịnh	VERB
90	NUM
%	NOUN
là	CCONJ
đúng	ADJ
đốitượng	NOUN
.	PUNCT
