Riêng	PART
về	ADP
xuấtkhẩu	VERB
laođộng	NOUN
,	PUNCT
anh	NOUN
Luyến	NOUN
có	VERB
cách	NOUN
nghĩ	VERB
riêng	ADJ
:	PUNCT
"	PUNCT
Duhọcsinh	NOUN
đi	VERB
nướcngoài	NOUN
để	ADP
mởmang	VERB
kiếnthức	NOUN
.	PUNCT

johor	NOUN
ngày	NOUN
thứ	NOUN
nhất	NUM
.	PUNCT

xửlý	VERB
nghiêmminh	ADJ
theo	ADP
phápluật	NOUN
và	SCONJ
kỷluật	NOUN
của	ADP
Đảng	NOUN
những	DET
người	NOUN
có	VERB
hànhvi	NOUN
saitrái	ADJ
và	SCONJ
những	DET
người	NOUN
baoche	VERB
.	PUNCT

bà	NOUN
Nhu	NOUN
và	SCONJ
Phú	NOUN
ngồi	VERB
ở	ADP
quán	NOUN
nước	NOUN
.	PUNCT

"	PUNCT
Ủa	INTJ
,	PUNCT
sao	PROPN
em	NOUN
sang	VERB
VN	NOUN
mà	CCONJ
không	X
báo	VERB
cho	ADP
anh	NOUN
?	PUNCT

địađiểm	NOUN
khaithác	VERB
tốt	ADJ
nhất	X
là	AUX
tại	ADP
nhà	NOUN
họ	PROPN
.	PUNCT
