چاروں	NUM
نے	ADP
جب	PRON
تعلیم	NOUN
سے	ADP
فراغت	NOUN
حاصل	NOUN
کی	VERB
اور	CCONJ
اپنے	PRON
اپنے	PRON
علم	NOUN
مےں	ADP
ماہر	ADJ
ہو	VERB
گئے	AUX
تو	PRON
سوچا	VERB
کہ	SCONJ
چلو	X
اب	PRON
ذرا	INTJ
دنیا	NOUN
کی	ADP
سیر	NOUN
کر	VERB
لیں	AUX
اور	CCONJ
راجہ	NOUN
کے	ADP
دربار	NOUN
مےں	ADP
حاضر	ADJ
ہو	VERB
کر	AUX
اپنی	PRON
تعلیم	NOUN
کے	ADP
بل	NOUN
بوتے	NOUN
پر	ADP
کچھ	DET
پیسے	NOUN
کما	VERB
لیں	AUX
اور	CCONJ
شہرت	NOUN
حاصل	NOUN
کر	VERB
لیں	AUX
,	PUNCT
لہذا	CCONJ
یہ	PRON
شہر	NOUN
کی	ADP
جانب	ADP
روانہ	NOUN
ہو	VERB
گئے	AUX
۔	PUNCT

اگر	SCONJ
گناہوں	NOUN
مےں	ADP
بدبو	NOUN
ہوتی	VERB
تو	SCONJ
شاید	ADV
آج	ADV
ہمارے	PRON
پاس	ADP
کوئی	PRON
بیٹھنا	VERB
پسند	NOUN
نہیں	PART
کرتا	VERB
۔	PUNCT

صدر	PROPN
بزم	PROPN
حمید	PROPN
الحق	PROPN
قادری	PROPN
اور	CCONJ
محمد	PROPN
فصیح	PROPN
احمد	PROPN
خان	PROPN
نے	ADP
صدر	NOUN
مشاعرہ	NOUN
اور	CCONJ
مہمان	NOUN
شعراء	NOUN
کی	ADP
گلپوشی	NOUN
کی	VERB
۔	PUNCT
