वहीं	ADV
पूर्व	ADJ
पार्टी	NOUN
अध्यक्ष	NOUN
वेंकैया	PROPN
नायडू	PROPN
ने	ADP
कहा	VERB
कि	SCONJ
इस	DET
पूरी	ADJ
कवायद	NOUN
का	ADP
मकसद	NOUN
पार्टी	NOUN
की	ADP
छवि	NOUN
को	ADP
धूमिल	ADJ
करना	VERB
है	AUX
।	PUNCT

इससे	PRON
अनिल	PROPN
और	CCONJ
मुकेश	PROPN
को	ADP
अपने	PRON
-	PUNCT
अपने	X
हिस्से	NOUN
वाली	ADP
कंपनियों	NOUN
पर	ADP
सीधा	ADJ
नियंत्रण	NOUN
हासिल	ADJ
हो	VERB
सकेगा	AUX
।	PUNCT

बिल	NOUN
पेश	ADJ
करते	VERB
हुए	AUX
रघुवंश	PROPN
प्रसाद	PROPN
सिंह	PROPN
ने	ADP
बताया	VERB
कि	SCONJ
पहले	ADJ
चरण	NOUN
में	ADP
देश	NOUN
के	ADP
दो	NUM
सौ	NUM
जिलों	NOUN
को	ADP
इस	DET
योजना	NOUN
में	ADP
शामिल	ADJ
किया	VERB
गया	AUX
है	AUX
।	PUNCT

वर्षों	NOUN
बाद	ADP
भी	PART
'	PUNCT
ऐ	INTJ
मेरे	PRON
वतन	NOUN
के	ADP
लोगों	NOUN
......	PUNCT
'	PUNCT
गाने	NOUN
को	ADP
सुनकर	VERB
किसी	PRON
भी	PART
भारतीय	NOUN
की	ADP
आंखों	NOUN
में	ADP
पानी	NOUN
आ	VERB
सकता	AUX
है	AUX
।	PUNCT

अदालत	NOUN
ने	ADP
फैसले	NOUN
में	ADP
साफ	ADJ
तौर	NOUN
पर	ADP
यह	PRON
भी	PART
कहा	VERB
कि	SCONJ
साक्ष्यों	NOUN
के	ADP
अभाव	NOUN
में	ADP
गिलानी	PROPN
व	CCONJ
नवजोत	PROPN
को	ADP
बरी	ADJ
किया	VERB
जा	AUX
रहा	AUX
है	AUX
।	PUNCT
