Indien	SCONJ
die	DET
persoon	NOUN
wat	PRON
na	ADP
bewering	NOUN
aanspreeklik	ADJ
is	AUX
vir	ADP
die	DET
betaling	NOUN
van	ADP
onderhoud	NOUN
nie	ADV
toestem	VERB
tot	ADP
die	DET
verlening	NOUN
van	ADP
'n	DET
onderhoudsbevel	NOUN
nie	PART
,	PUNCT
moet	AUX
hy	PRON
of	CCONJ
sy	PRON
in	ADP
die	DET
hof	NOUN
verskyn	VERB
,	PUNCT
waar	PRON
getuienis	NOUN
van	ADP
albei	NUM
die	DET
partye	NOUN
én	CCONJ
hulle	PRON
onderskeie	ADJ
getuies	NOUN
aangehoor	VERB
sal	AUX
word	AUX
.	PUNCT

Voorlopige	ADJ
belastingbetalings	NOUN
word	AUX
elke	PRON
ses	NUM
maande	NOUN
gemaak	VERB
.	PUNCT

'n	DET
Oorkoepelende	ADJ
strategie	NOUN
ontwikkel	VERB
vir	ADP
sleutelingrypings	NOUN
in	ADP
die	DET
verwerking	NOUN
en	CCONJ
veredeling	NOUN
van	ADP
mynbou	NOUN
en	CCONJ
minerale	NOUN
,	PUNCT
die	DET
landbou	NOUN
en	CCONJ
landbouverwerking	NOUN
,	PUNCT
die	DET
sektor	NOUN
vir	ADP
witgoedere	NOUN
,	PUNCT
die	DET
skeppende	ADJ
nywerheid	NOUN
,	PUNCT
gemeenskaps-	X
en	CCONJ
maatskaplike	ADJ
dienste	NOUN
en	CCONJ
die	DET
farmaseutiese	ADJ
bedryf	NOUN
.	PUNCT

In	ADP
Oktober	PROPN
sal	AUX
nog	ADV
30	SYM
000	SYM
individue	NOUN
in	ADP
8	SYM
000	SYM
huishoudings	NOUN
gekies	VERB
word	AUX
om	ADP
aan	ADP
Suid-Afrika	PROPN
se	PART
eerste	ADJ
nasionale	ADJ
paneelondersoek	NOUN
,	PUNCT
die	DET
Nasionale	ADJ
Inkomstedinamiekstudie	NOUN
,	PUNCT
deel	ADV
te	PART
neem	VERB
.	PUNCT
