Hadi	INTJ
bakalım	VERB
düşelim	VERB
yola	NOUN
.	PUNCT
dedi	VERB
babam	NOUN
.	PUNCT

Fatih'in	PROPN
,	PUNCT
gemileri	NOUN
Haliç'e	PROPN
karadan	ADJ
indirme	VERB
planının	NOUN
Fatih'in	PROPN
kafasından	NOUN
çıkmadığını	VERB
,	PUNCT
Said	PROPN
Nursi'nin	PROPN
-	PUNCT
i	NOUN
de	CCONJ
arkasına	ADJ
Nurcu	PROPN
ordularını	NOUN
toplayıp	VERB
başkente	NOUN
yürüme	VERB
planları	NOUN
yapmadığını	VERB
işitiyorsunuz	VERB
.	PUNCT

Kaç	NUM
kez	NOUN
denemişti	VERB
;	PUNCT
iki	NUM
türküden	NOUN
sonra	ADP
balıkçılar	NOUN
,	PUNCT
utangaç	ADJ
hallerinden	NOUN
sıyrılıp	VERB
,	PUNCT
tarihin	NOUN
değil	CCONJ
,	PUNCT
doğanın	NOUN
kendilerine	PRON
verdiği	VERB
niteliği	NOUN
yeğleyerek	VERB
,	PUNCT
masalarda	NOUN
oturan	VERB
yabancı	ADJ
kadınlara	ADJ
göz	NOUN
süzmeye	VERB
başlıyorlardı	VERB
.	PUNCT

Hanın	NOUN
üst	ADJ
katında	NOUN
odalar	NOUN
da	CCONJ
mı	AUX
var	ADJ
.	PUNCT

Duyguları	NOUN
öldürme	VERB
eşiği	NOUN
hücrelerinde	NOUN
kayıtlı	NOUN
olduğu	VERB
için	ADP
yerine	NOUN
başka	ADJ
bir	NUM
şey	NOUN
koysa	VERB
da	CCONJ
o	DET
şeyi	NOUN
de	CCONJ
had	NOUN
safhada	NOUN
kullanıyor	VERB
.	PUNCT

Senin	PRON
gitmen	VERB
beni	PRON
daha	ADV
mutlu	ADJ
eder	VERB
,	PUNCT
dedi	VERB
.	PUNCT

Eski	ADJ
eşyayla	NOUN
haşır	X
neşir	NOUN
oldum	VERB
.	PUNCT
