Indien	SCONJ
jy	PRON
voor	ADP
15	SYM
November	PROPN
2000	SYM
ingevolge	ADP
die	DET
gewoontereg	NOUN
getroud	VERB
is	AUX
,	PUNCT
moet	AUX
jy	PRON
jou	PRON
huwelik	NOUN
by	ADP
die	DET
Departement	NOUN
van	ADP
Binnelandse	ADJ
Sake	NOUN
registreer	VERB
.	PUNCT

Drie	NUM
soorte	NOUN
sertifikate	NOUN
kan	AUX
uitgereik	VERB
word	AUX
,	PUNCT
naamlik	ADV
Saadtoetssertifikate	NOUN
(	PUNCT
Oranje	ADJ
en	CCONJ
Groen	ADJ
)	PUNCT
en	CCONJ
'n	DET
Saadmonstersertifikaat	NOUN
(	PUNCT
Blou	ADJ
)	PUNCT
.	PUNCT

Gedurende	ADP
die	DET
afgelope	ADJ
jaar	NOUN
het	AUX
ons	PRON
die	DET
opdrag	NOUN
van	ADP
SADC	X
uitgevoer	VERB
om	ADP
die	DET
politieke	ADJ
leierskap	NOUN
van	ADP
Zimbabwe	PROPN
behulpsaam	ADJ
te	PART
wees	AUX
om	ADP
'n	DET
blywende	ADJ
oplossing	NOUN
te	PART
vind	VERB
vir	ADP
die	DET
politieke	ADJ
uitdagings	NOUN
wat	PRON
hulle	PRON
in	ADP
die	DET
gesig	NOUN
staar	VERB
.	PUNCT
