קפכות	X
במסגרת	ADP
יום	NOUN
העיון	NOUN
שערך	VERB
אתמול	ADV
המרכז	NOUN
הישראלי	ADJ
לניהול	NOUN
הודיע	VERB
מנכ"ל	NOUN
המי"ל	NOUN
,	PUNCT
כי	SCONJ
נבחר	VERB
פה	NOUN
אחד	NUM
ליו"ר	NOUN
המי"ל	NOUN
,	PUNCT
וזכה	VERB
למחיאות	NOUN
כפיים	NOUN
באולם	NOUN
גן	NOUN
אורנים	NOUN
.	PUNCT

אחדים	NUM
מהח"כים	NOUN
תבעו	VERB
לחייב	VERB
את	ADP
משרדי	NOUN
האוצר	NOUN
והאנרגיה	NOUN
לקבל	VERB
את	ADP
הסכמת	NOUN
הוועדה	NOUN
כל	DET
אימת	ADP
שירצו	VERB
להעלות	VERB
את	ADP
מחירי	NOUN
הדלק	NOUN
,	PUNCT
בדומה	ADP
לנעשה	VERB
לגבי	ADP
מחירי	NOUN
המים	NOUN
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

חוקר	NOUN
המשטרה	NOUN
טען	VERB
כי	SCONJ
שניים	NUM
מן	ADP
החשודים	NOUN
הודו	VERB
במעשים	NOUN
ויש	VERB
כוונה	NOUN
להגיש	VERB
נגדם	PRON
כתב	NOUN
אישום	NOUN
תוך	ADP
תקופת	NOUN
מעצרם	NOUN
.	PUNCT

אילנה	PROPN
נחום	PROPN
,	PUNCT
המזכירה	NOUN
של	ADP
קיבוץ	NOUN
רוחמה	PROPN
,	PUNCT
אומרת	VERB
בכנות	NOUN
:	PUNCT
"	PUNCT
אפילו	CCONJ
רצו	VERB
בני	NOUN
הזוג	NOUN
קונסטנטינסקו	PROPN
להישאר	VERB
בקיבוץ	NOUN
,	PUNCT
הייתי	AUX
עושה	VERB
הכל	NOUN
כדי	ADP
שלא	ADV
יישארו	VERB
.	PUNCT
