No	PART
obstante	NOUN
,	PUNCT
en	ADP
1990	NOUN
se	PRON
apuntaba	VERB
como	SCONJ
objetivo	NOUN
llegar	VERB
al	ADP
4%	SYM
a	ADP
finales	NOUN
de	ADP
siglo	NOUN
y	CCONJ
destinar	VERB
el	DET
1%	SYM
del	ADP
PIB	PROPN
a	ADP
su	DET
financiación	NOUN
.	PUNCT

Si	SCONJ
Sonic	PROPN
(	PUNCT
Exclusivamente	ADV
)	PUNCT
logra	VERB
hacerse	VERB
con	ADP
las	DET
7	NUM
,	PUNCT
podrá	AUX
convertirse	VERB
en	ADP
Super	PROPN
Sonic	PROPN
siempre	ADV
que	SCONJ
se	PRON
haga	VERB
con	ADP
50	NUM
anillos	NOUN
y	CCONJ
haga	VERB
un	DET
doble	ADJ
salto	NOUN
,	PUNCT
volviéndose	VERB
Dorado	ADJ
,	PUNCT
Invencible	ADJ
y	CCONJ
duplicando	VERB
su	DET
Capacidad	NOUN
de	ADP
Velocidad	NOUN
y	CCONJ
De	ADP
Salto	NOUN
.	PUNCT

Y	CCONJ
aunque	SCONJ
efectivamente	ADV
es	AUX
un	DET
tres	NUM
estrellas	NOUN
sin	ADP
más	ADV
pretensiones	NOUN
,	PUNCT
simplemente	ADV
correcto	ADJ
,	PUNCT
sus	DET
empleados	NOUN
sí	INTJ
que	CCONJ
merecen	VERB
una	DET
mención	NOUN
especial	ADJ
debido	VERB
al	ADP
buen	ADJ
servicio	NOUN
que	SCONJ
ofrecen	VERB
.	PUNCT

Juan	PROPN
Guillermo	PROPN
Iribarren	PROPN
y	CCONJ
Chaquea	PROPN
(	PUNCT
Araure	PROPN
,	PUNCT
1797	NUM
--	PUNCT
ibídem	X
,	PUNCT
1827	NUM
)	PUNCT
fue	AUX
un	DET
patriota	NOUN
y	CCONJ
general	ADJ
de	ADP
la	DET
Independencia	PROPN
de	ADP
Venezuela	PROPN
.	PUNCT
