Не	INTJ
сега	ADV
!	PUNCT

Разпоредбите	NOUN
на	ADP
този	DET
закон	NOUN
се	PRON
прилагат	VERB
и	CCONJ
по	ADP
отношение	NOUN
на	ADP
чуждестранни	ADJ
граждани	NOUN
и	CCONJ
юридически	ADJ
лица	NOUN
от	ADP
държави	NOUN
,	PUNCT
които	PRON
участват	VERB
в	ADP
международни	ADJ
договори	NOUN
,	PUNCT
по	ADP
които	PRON
страна	NOUN
е	AUX
Република	NOUN
България	PROPN
.	PUNCT

Бакалов	PROPN
поиска	VERB
данните	NOUN
от	ADP
Чирипов	PROPN
,	PUNCT
за	ADP
да	AUX
прецени	VERB
дали	PART
комисията	NOUN
да	AUX
разследва	VERB
незаконното	ADJ
използване	NOUN
на	ADP
специалните	ADJ
разузнавателни	ADJ
средства	NOUN
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Пикапът	NOUN
"	PUNCT
Терадин	PROPN
"	PUNCT
имаше	VERB
просторна	ADJ
кабина	NOUN
с	ADP
пет	NUM
места	NOUN
,	PUNCT
модулируемо	ADJ
товарно	ADJ
пространство	NOUN
и	CCONJ
6,6-литров	ADJ
мотор	NOUN
.	PUNCT

-	PUNCT
По	ADP
делото	NOUN
"	PUNCT
Акрам	PROPN
"	PUNCT
се	PRON
говори	VERB
,	PUNCT
че	SCONJ
част	NOUN
от	ADP
изтеглените	ADJ
заеми	NOUN
са	AUX
отишли	VERB
в	ADP
касата	NOUN
на	ADP
БСП	PROPN
.	PUNCT
