نه	INTJ
.	PUNCT

من	PRON
بر	ADP
اساس	NOUN
این	DET
سابقه	NOUN
،	PUNCT
در	ADP
حضور	NOUN
جمع	NOUN
خطاب	NOUN
به	ADP
دکتر	NOUN
مهاجرانی	NOUN
و	CCONJ
کرباسچی	NOUN
که	SCONJ
دو	NUM
نفری	NOUN
مشغول	ADJ
گفتگو	NOUN
بودند	AUX
به	ADP
صدای	NOUN
بلند	ADJ
گفتم	VERB
:	PUNCT
آقای	NOUN
مهاجرانی	NOUN
،	PUNCT
آقای	NOUN
کرباسچی	NOUN
،	PUNCT
گمان	NOUN
کنم	VERB
شما	PRON
به	ADP
لواسان	NOUN
آمدهاید	VERB
که	SCONJ
صندوق	NOUN
آرای	NOUN
لواسان	NOUN
را	PART
به	ADP
تهران	NOUN
ببرید	VERB
و	CCONJ
تحویل	NOUN
دهید	VERB
تا	SCONJ
شورای	NOUN
نگهبان	NOUN
از	ADP
سرگردانی	NOUN
خلاصی	NOUN
یابد	VERB
،	PUNCT
و	CCONJ
این	DET
شوخی	NOUN
را	PART
بر	ADP
این	PRON
مبنا	NOUN
کردم	VERB
که	SCONJ
مهاجرانی	NOUN
یکی	NUM
دو	NUM
ساعتی	NOUN
برای	ADP
قرائت	NOUN
رساله	NOUN
دکتری	ADJ
او	PRON
مخلص	NOUN
به	ADP
عنوان	NOUN
مشاور	NOUN
،	PUNCT
سمت	NOUN
معلمی	NOUN
به	ADP
خود	PRON
بسته	ADJ
بودم	AUX
و	CCONJ
تا	ADP
این	DET
حد	NOUN
البته	ADV
مجاز	ADJ
به	ADP
شوخی	NOUN
بودم	AUX
.	PUNCT

احنف	X
بن	X
قیس	NOUN
در	ADP
دور	NOUN
دوم	ADJ
سخنان	NOUN
هم	SCONJ
بر	ADP
موضع	NOUN
خود	PRON
پای	NOUN
فشرد	VERB
و	CCONJ
از	ADP
یزید	NOUN
حمایت	NOUN
نکرد	VERB
.	PUNCT
