بن	PROPN
عامي	X
يأمل	VERB
في	ADP
التوصل	NOUN
الى	ADP
اتفاق	NOUN
اولي	ADJ
وسريع	ADJ
مع	ADP
الفلسطينيين	NOUN

وقال	CCONJ
سوتومايور	X
عندما	CCONJ
تلقى	VERB
نبأ	NOUN
تخفيف	NOUN
العقوبة	NOUN
:	PUNCT
"	PUNCT
كنت	AUX
سعيدا	ADJ
للغاية	NOUN
واحتفلت	VERB
مع	ADP
بعض	NOUN
الاصدقاء	NOUN
،	PUNCT
ولم	PART
اكن	VERB
اشك	VERB
ابدا	NOUN
في	ADP
براءتي	NOUN
"	PUNCT
.	PUNCT

ورفض	CCONJ
رؤساء	NOUN
شركات	NOUN
الاسكان	NOUN
الخاصة	ADJ
الاتهامات	NOUN
بأنهم	PRON
وراء	ADP
الأزمة	NOUN
الحالية	ADJ
للاسكان	NOUN
معللين	ADJ
أن	CCONJ
نسبة	NOUN
22	NUM
في	ADP
المئة	NUM
من	ADP
سكان	NOUN
البلاد	NOUN
فقط	ADV
تستطيع	VERB
شراء	NOUN
الوحدات	NOUN
السكانية	ADJ
الترفيهية	ADJ
ومن	CCONJ
ثم	ADV
يمكن	VERB
تحقيق	NOUN
مكاسب	NOUN
من	ADP
وراء	ADP
ذلك	DET
عكس	NOUN
انواع	NOUN
الاسكان	NOUN
الاخرى	ADJ
التي	DET
تلحق	VERB
خسائر	NOUN
بالقائمين	ADJ
عليها	PRON
.	PUNCT

وقال	CCONJ
المهندس	NOUN
حمدي	X
الشايب	X
،	PUNCT
وزير	NOUN
النقل	NOUN
المصري	ADJ
إن	CCONJ
35	NUM
%	SYM
من	ADP
المركبات	NOUN
التي	DET
تعمل	VERB
في	ADP
مصر	NOUN
تتجاوز	VERB
فترات	NOUN
تصنيعها	NOUN
17	NUM
سنة	NOUN
،	PUNCT
وأشار	VERB
إلى	ADP
أن	CCONJ
هناك	ADV
330	NUM
ألف	NUM
خطأ	NOUN
يرتكبه	VERB
السائقون	NOUN
في	ADP
الساعة	NOUN
،	PUNCT
موضحاً	ADJ
أن	CCONJ
أعلى	ADJ
نسبة	NOUN
في	ADP
تكرار	NOUN
الخطأ	NOUN
تتركز	VERB
في	ADP
عدم	NOUN
استخدام	NOUN
الإشارات	NOUN
الضوئية	ADJ
وقلة	NOUN
المسافة	NOUN
بين	ADP
السيارات	NOUN
.	PUNCT

ورحب	CCONJ
شيخ	NOUN
الأزهر	NOUN
بمن	DET
ينادون	VERB
بانتخاب	NOUN
شيخ	NOUN
الأزهر	NOUN
وقال	VERB
بلغة	NOUN
واثقة	ADJ
:	PUNCT
"	PUNCT
مرحباً	INTJ
بالانتخاب	NOUN
"	PUNCT
،	PUNCT
وعندما	CCONJ
سأله	VERB
المذيع	NOUN
عن	ADP
حق	NOUN
أي	ADJ
مسلم	NOUN
في	ADP
العالم	NOUN
أن	CCONJ
يرشح	VERB
نفسه	NOUN
لهذا	ADP
الموقع	NOUN
قال	VERB
شيخ	NOUN
الأزهر	NOUN
:	PUNCT
"	PUNCT
وأبناء	NOUN
العالم	NOUN
الإسلامي	ADJ
يتدخلوا	X
في	ADP
مصر	NOUN
ليه	X
؟	PUNCT
"	PUNCT
.	PUNCT

القاهرة	NOUN
30	NUM
أبريل	NOUN
09	NUM
:	PUNCT
20	NUM
