Adiós	INTJ
,	PUNCT
Copa	PROPN
de	ADP
la	DET
UEFA	PROPN
.	PUNCT

No	PART
obstante	NOUN
,	PUNCT
ha	AUX
anunciado	VERB
que	SCONJ
apelará	VERB
cualquier	DET
dictamen	NOUN
que	PRON
establezca	VERB
su	DET
división	NOUN
,	PUNCT
lo	PRON
cual	PRON
prolongaría	VERB
el	DET
proceso	NOUN
judicial	ADJ
mucho	DET
tiempo	NOUN
.	PUNCT

El	DET
dinero	NOUN
iría	AUX
a	ADP
parar	VERB
a	ADP
las	DET
150.000	NUM
víctimas	NOUN
del	ADP
Tercer	PROPN
Reich	PROPN
que	PRON
aún	ADV
viven	VERB
.	PUNCT

Si	SCONJ
los	DET
resultados	NOUN
de	ADP
los	DET
torneos	NOUN
fuesen	AUX
online	X
otro	DET
gallo	NOUN
cantaría	VERB
,	PUNCT
pero	CCONJ
entonces	ADV
sería	AUX
estupendo	ADJ
que	SCONJ
también	ADV
se	PRON
actualizasen	VERB
en	ADP
la	DET
web	NOUN
.	PUNCT

Del	ADP
total	NOUN
de	ADP
la	DET
población	NOUN
el	DET
0.28	NUM
%	SYM
eran	AUX
hispanos	NOUN
o	CCONJ
latinos	NOUN
de	ADP
cualquier	DET
raza	NOUN
.	PUNCT
