Bof	INTJ
,	PUNCT
primadera	NOUN
dun	VERB
.	PUNCT

McGuinnessek	PROPN
Egunkariari	PROPN
onartu	VERB
berri	ADJ
dionez	AUX
,	PUNCT
bere	DET
departamenduan	NOUN
ez	PART
du	AUX
britainiarra	ADJ
soilik	ADV
zintzilikatuko	VERB
.	PUNCT

Berak	PROPN
izango	VERB
zuen	AUX
,	PUNCT
izatekotan	VERB
,	PUNCT
Knoxen	PROPN
izaera	NOUN
biolentoaren	ADJ
berri	ADJ
,	PUNCT
beste	DET
inork	PRON
baino	X
hobeto	ADV
.	PUNCT

Beste	DET
zaurituei	VERB
dagokienez	VERB
,	PUNCT
herenegun	ADV
gauerako	NOUN
beste	DET
bik	NUM
jaso	VERB
zuten	AUX
senda-agiria	NOUN
,	PUNCT
eta	CCONJ
zortzi	NUM
gelditzen	VERB
dira	AUX
hainbat	DET
erietxetan	NOUN
ingresatuta	VERB
.	PUNCT

Maurice	PROPN
Greenek	PROPN
(	PUNCT
100	NUM
m.	SYM
)	PUNCT
,	PUNCT
Hicham	PROPN
El	PROPN
Guerroujek	PROPN
(	PUNCT
1.500m	NOUN
)	PUNCT
,	PUNCT
Trine	PROPN
Solberg-Hattestadek	PROPN
(	PUNCT
xabalina	NOUN
)	PUNCT
eta	CCONJ
Tatiana	PROPN
Kotovak	PROPN
(	PUNCT
luzera	NOUN
jauzia	NOUN
)	PUNCT
gaur	ADV
dute	VERB
Berlinen	PROPN
Diversekin	PROPN
dirusaria	NOUN
banatzeko	VERB
euren	PRON
azken	NUM
aukera	NOUN
.	PUNCT

Horri	DET
esker	ADP
,	PUNCT
EITBk	PROPN
datozen	VERB
hiru	NUM
urteetan	NOUN
4.500	NUM
milioi	NOUN
pezeta	NOUN
inbertituko	VERB
ditu	AUX
(	PUNCT
180	NUM
mila	NUM
libera	NOUN
)	PUNCT
ikus-entzunezko	ADJ
ekoizpena	NOUN
sustatu	VERB
eta	CCONJ
alor	NOUN
horrek	DET
industria	NOUN
izaera	NOUN
har	VERB
dezan	AUX
.	PUNCT
