À	INTJ
,	PUNCT
mà	CCONJ
chuyện	NOUN
đó	PROPN
cũ	ADJ
hết	X
rồi	X
...	PUNCT
"	PUNCT
.	PUNCT

quý	NOUN
1	NUM
là	AUX
thờiđiểm	NOUN
biểuhiện	VERB
rõ	ADJ
nhất	ADJ
sự	NOUN
thiếu	VERB
bềnvững	ADJ
này	PROPN
"	PUNCT
.	PUNCT

Bà	NOUN
bán	VERB
lại	X
sạp	NOUN
hàng	NOUN
rồi	CCONJ
nghỉ	VERB
ở	ADP
nhà	NOUN
đến	ADP
khi	NOUN
quađời	VERB
.	PUNCT

lật	VERB
mặt	NOUN
sau	NOUN
xem	VERB
thì	CCONJ
tôi	PROPN
thấy	VERB
một	NUM
cái	NOUN
tên	NOUN
thật	PART
quenthuộc	ADJ
:	PUNCT
NguyễnThiệnThuật	NOUN
.	PUNCT

Và	CCONJ
mỗi	DET
đêm	NOUN
chỉ	X
bấm	VERB
hai	NUM
,	PUNCT
ba	NUM
lần	NOUN
,	PUNCT
mỗi	DET
lần	NOUN
cách	VERB
nhau	NOUN
một	NUM
tiếng	NOUN
.	PUNCT

trên	ADP
sàlan	NOUN
lúc	NOUN
này	PROPN
có	VERB
khoảng	ADJ
40	NUM
m3	NOUN
cát	NOUN
và	SCONJ
ba	NUM
người	NOUN
luôn	X
túctrực	VERB
để	ADP
tách	VERB
bùn	NOUN
và	SCONJ
cát	NOUN
.	PUNCT
