À	INTJ
,	PUNCT
mà	CCONJ
chuyện	NOUN
đó	PROPN
cũ	ADJ
hết	X
rồi	X
...	PUNCT
"	PUNCT
.	PUNCT

Vậy	PART
thì	CCONJ
sự	NOUN
lầmthan	ADJ
hômnay	NOUN
của	ADP
nhóm	NOUN
côngnhân	NOUN
bảovệ	VERB
cái	NOUN
thiện	ADJ
kia	PROPN
minhchứng	VERB
cho	ADP
điều	NOUN
gì	PROPN
?	PUNCT

nghịquyết	NOUN
lần	NOUN
này	PROPN
đã	X
nêu	VERB
ra	X
bốn	NUM
nhóm	NOUN
giảipháp	NOUN
,	PUNCT
trong	ADP
đó	PROPN
được	VERB
đềcập	VERB
đầutiên	ADJ
là	AUX
vấnđề	NOUN
trọngdụng	VERB
nhântài	NOUN
...	PUNCT

Ngoàira	CCONJ
,	PUNCT
bàcon	NOUN
sẽ	X
được	VERB
tạo	VERB
điềukiện	NOUN
giảiquyết	VERB
nhanhchóng	ADJ
,	PUNCT
thỏađáng	ADJ
các	DET
yêucầu	NOUN
liênquan	VERB
đến	ADP
vấnđề	NOUN
quốctịch	NOUN
.	PUNCT

quanđiểm	NOUN
của	ADP
tôi	PROPN
nếu	CCONJ
viphạm	VERB
thì	CCONJ
phải	VERB
bị	VERB
xửlý	VERB
-	PUNCT
dù	CCONJ
bấtcứ	X
người	NOUN
đó	PROPN
là	AUX
ai	PROPN
,	PUNCT
nhưng	CCONJ
phải	VERB
đúng	ADJ
người	NOUN
,	PUNCT
đúng	ADJ
tội	NOUN
.	PUNCT

bên	NOUN
trên	ADJ
,	PUNCT
hai	NUM
csgt	NOUN
và	SCONJ
các	DET
cò	NOUN
xe	NOUN
vẫn	X
tiếptục	VERB
cuộc	NOUN
sănlùng	VERB
.	PUNCT

cho	VERB
anh	NOUN
gặpmặt	VERB
H.	NOUN
nhé	PART
"	PUNCT
.	PUNCT

Phầnlớn	DET
giađình	NOUN
Việtkiều	NOUN
đều	X
lo	VERB
cho	ADP
việc	NOUN
học	NOUN
của	ADP
concái	NOUN
.	PUNCT

Chúngtôi	PROPN
là	AUX
Việtkiều	NOUN
nhưng	CCONJ
sửdụng	VERB
tiếng	NOUN
Việt	NOUN
chừngmực	NOUN
nào	PROPN
đó	PROPN
thôi	PART
.	PUNCT

Các	DET
em	NOUN
chỉ	X
học	VERB
tiếng	NOUN
Việt	NOUN
đến	ADP
lớp	NOUN
5	NUM
.	PUNCT

điều	NOUN
rất	X
quantrọng	ADJ
là	AUX
ai	PROPN
và	SCONJ
vìsao	X
lại	X
có	VERB
lá	NOUN
đơn	NOUN
này	PROPN
?	PUNCT

hôm	NOUN
đó	PROPN
,	PUNCT
nguyên	NOUN
cùng	CCONJ
một	NUM
đồngđội	NOUN
đi	VERB
làm	VERB
một	NUM
nhiệmvụ	NOUN
khác	ADJ
thì	CCONJ
bấtngờ	ADJ
thấy	VERB
khói	NOUN
bốc	VERB
lên	VERB
cao	ADJ
ở	ADP
khuvực	NOUN
trường	NOUN
đạihọc	NOUN
ydược	NOUN
.	PUNCT

vờ	VERB
như	CCONJ
vôtình	ADJ
chạmmặt	VERB
Thư	NOUN
ở	ADP
siêuthị	NOUN
,	PUNCT
Toàn	NOUN
kinhngạc	VERB
thấy	VERB
dungnhan	NOUN
của	ADP
Thư	NOUN
thảmhại	ADJ
đến	PART
không	X
ngờ	VERB
.	PUNCT

Nếu	CCONJ
dùng	VERB
sự	NOUN
cầuxin	NOUN
,	PUNCT
bàytỏ	VERB
sự	NOUN
khuấtphục	NOUN
để	ADP
hạ	VERB
nhiệt	NOUN
thì	CCONJ
nhu	NOUN
và	SCONJ
Liên	NOUN
cũng	X
đã	X
làm	VERB
hếtmình	X
rồi	X
.	PUNCT

Rất	X
đơngiản	ADJ
:	PUNCT
gõ	VERB
cửa	NOUN
tiến	VERB
vào	X
nhà	NOUN
và	SCONJ
xinlỗi	VERB
đã	X
nhầm	VERB
nhà	NOUN
.	PUNCT
