بله	INTJ
،	PUNCT
آشناییزدایی	NOUN
شد	AUX
.	PUNCT

این	DET
جریان	NOUN
خزنده	ADJ
که	SCONJ
خط	NOUN
نفاق	NOUN
جدید	ADJ
،	PUNCT
مناسبترین	ADJ
واژه	NOUN
برای	ADP
نامیدن	NOUN
آن	PRON
است	AUX
و	CCONJ
علیرغم	SCONJ
دیدگاههای	NOUN
تجدیدنظرطلبانه	ADJ
خود	PRON
،	PUNCT
در	ADP
طیف	NOUN
موسوم	ADJ
به	ADP
اصلاحطلبان	NOUN
جای	NOUN
گرفته	VERB
است	VERB
،	PUNCT
از	ADP
چند	ADJ
ماه	NOUN
قبل	ADJ
و	CCONJ
همزمان	ADV
با	ADP
فاز	NOUN
جدید	ADJ
اقدامات	NOUN
آمریکاییها	NOUN
ضرورت	NOUN
کنارهگیری	NOUN
آقای	NOUN
خاتمی	NOUN
را	PART
زمزمه	NOUN
میکند	VERB
!	PUNCT

این	DET
جشنواره	NOUN
از	ADP
روز	NOUN
۱۵	NUM
اردیبهشت	NOUN
ماه	NOUN
با	ADP
شرکت	NOUN
فیلمسازانی	NOUN
از	ADP
کشورهای	NOUN
ایران	NOUN
،	PUNCT
یونان	NOUN
،	PUNCT
آلمان	NOUN
،	PUNCT
فرانسه	NOUN
،	PUNCT
انگلیس	NOUN
،	PUNCT
آمریکا	NOUN
،	PUNCT
استرالیا	NOUN
،	PUNCT
لهستان	NOUN
،	PUNCT
پرتغال	NOUN
و	CCONJ
ترکیه	NOUN
در	ADP
چند	ADJ
سینمای	NOUN
آنکارا	NOUN
آغاز	NOUN
به	ADP
کار	NOUN
کرده	VERB
است	VERB
.	PUNCT

اما	CCONJ
مردم	NOUN
حجاز	NOUN
و	CCONJ
عراق	NOUN
تا	ADP
حسن	NOUN
بن	X
علی	NOUN
)	PUNCT
ع	NOUN
(	PUNCT
زنده	ADJ
است	AUX
با	ADP
یزید	NOUN
بیعت	NOUN
نمیکنند	VERB
.	PUNCT
