À	INTJ
,	PUNCT
mà	CCONJ
chuyện	NOUN
đó	PROPN
cũ	ADJ
hết	X
rồi	X
...	PUNCT
"	PUNCT
.	PUNCT

Có	X
nhận	VERB
ra	X
giọng	NOUN
vợ	NOUN
không	X
đấy	PART
?	PUNCT
"	PUNCT
.	PUNCT

theo	ADP
tiêuchí	NOUN
của	ADP
các	DET
thámtử	NOUN
,	PUNCT
như	CCONJ
vậy	PROPN
là	AUX
Nam	NOUN
đang	X
trongsạch	ADJ
.	PUNCT

thứ	NOUN
hai	NUM
,	PUNCT
dùsao	CCONJ
Lan	NOUN
cũng	X
đang	X
trông	VERB
vào	X
trợcấp	VERB
của	ADP
Nam	NOUN
.	PUNCT

Các	DET
thámtử	NOUN
khác	ADJ
tiếptục	VERB
quayphim	VERB
,	PUNCT
chụp	VERB
ảnh	NOUN
và	SCONJ
theo	VERB
sát	ADJ
họ	PROPN
từng	PROPN
bước	NOUN
.	PUNCT
