しかし	CCONJ
、	PUNCT
正午	NOUN
前	NOUN
に	ADP
ビンラディン	PROPN
氏	NOUN
死亡	NOUN
報道	NOUN
が	ADP
流れ	VERB
た	AUX
こと	SCONJ
を	ADP
きっかけ	NOUN
に	ADP
、	PUNCT
ドル	NOUN
は	ADP
一時	NOUN
81.69	NUM
円	NOUN
まで	ADP
上昇	NOUN
。	PUNCT

彼女	PRON
は	ADP
バチェラー	NOUN
・	SYM
パーティー	NOUN
で	ADP
踊っ	VERB
て	SCONJ
も	ADP
い	AUX
た	AUX
。	PUNCT

新しい	ADJ
薬	NOUN
を	ADP
出さ	VERB
れ	AUX
て	SCONJ
服用	VERB
し	AUX
たら	AUX
副作用	NOUN
が	ADP
ひどく	ADJ
、	PUNCT
再度	ADV
病院	NOUN
に	ADP
いっ	VERB
た	AUX
ところ	NOUN
すいません	INTJ
の	ADP
一言	NOUN
も	ADP
なし	ADJ
。	PUNCT

公	NOUN
に	ADP
なっ	VERB
て	SCONJ
いる	AUX
物	NOUN
で	ADP
は	ADP
過去	NOUN
に	ADP
関西	PROPN
で	ADP
一	NUM
回	NOUN
、	PUNCT
関東	PROPN
で	ADP
三	NUM
回	NOUN
行わ	VERB
れ	AUX
て	SCONJ
おり	AUX
第	PART
二	NUM
回	NOUN
ユニビ	PROPN
関東	PROPN
オフ	NOUN
会	NOUN
で	ADP
は	ADP
10	NUM
代	NOUN
から	ADP
40	NUM
代	NOUN
まで	ADP
20	NUM
名	NOUN
ほど	ADP
の	ADP
コテハン	NOUN
が	ADP
参加	VERB
し	AUX
た	AUX
。	PUNCT

マヤ	PROPN
暦	NOUN
が	ADP
どう	ADV
たら	NOUN
とか	ADP
で	ADP
,	PUNCT
ついに	ADV
人類	NOUN
滅亡	NOUN
予定	NOUN
の	ADP
2012	NUM
年	NOUN
が	ADP
やっ	VERB
て	SCONJ
まいり	AUX
ます	AUX
た	AUX
。	PUNCT

彼	PRON
の	ADP
全集	NOUN
は	ADP
22	NUM
巻	NOUN
に	ADP
も	ADP
及び	VERB
、	PUNCT
彼	PRON
は	ADP
その	DET
生涯	NOUN
の	ADP
ほとんど	NOUN
を	ADP
通じ	VERB
て	SCONJ
、	PUNCT
執筆	NOUN
を	ADP
行っ	VERB
て	SCONJ
い	AUX
た	AUX
。	PUNCT
