Tira	INTJ
,	PUNCT
uste	NOUN
dut	VERB
taldeak	NOUN
ez	PART
didala	AUX
konfiantza	NOUN
handirik	ADJ
erakutsi	VERB
.	PUNCT

Beraz	CCONJ
,	PUNCT
egon	VERB
badago	VERB
bideren	NOUN
bat	NUM
maitasun	NOUN
gorenera	ADJ
.	PUNCT

Frantziarrek	NOUN
berek	DET
beti	ADV
esaten	VERB
zuten	AUX
goi	NOUN
mailako	NOUN
txapelketetan	NOUN
kikildu	VERB
egiten	VERB
zirela	AUX
.	PUNCT

Lehiarako	NOUN
agintariek	NOUN
ikertuko	VERB
dituzten	AUX
laguntzak	NOUN
1995a	NUM
baino	X
lehenagokoak	NOUN
dira	AUX
,	PUNCT
gaur	ADV
egun	ADV
indarrik	NOUN
gabe	ADP
daudenak	VERB
.	PUNCT

Maurice	PROPN
Greenek	PROPN
(	PUNCT
100	NUM
m.	SYM
)	PUNCT
,	PUNCT
Hicham	PROPN
El	PROPN
Guerroujek	PROPN
(	PUNCT
1.500m	NOUN
)	PUNCT
,	PUNCT
Trine	PROPN
Solberg-Hattestadek	PROPN
(	PUNCT
xabalina	NOUN
)	PUNCT
eta	CCONJ
Tatiana	PROPN
Kotovak	PROPN
(	PUNCT
luzera	NOUN
jauzia	NOUN
)	PUNCT
gaur	ADV
dute	VERB
Berlinen	PROPN
Diversekin	PROPN
dirusaria	NOUN
banatzeko	VERB
euren	PRON
azken	NUM
aukera	NOUN
.	PUNCT
