Please	INTJ
note	VERB
that	SCONJ
the	DET
Declaration	NOUN
addresses	VERB
only	ADV
civil	ADJ
marriage	NOUN
;	PUNCT
it	PRON
says	VERB
nothing	PRON
about	ADP
religious	ADJ
beliefs	NOUN
or	CCONJ
practices	NOUN
regarding	VERB
marriage	NOUN
.	PUNCT

Unlike	ADP
Iraq	PROPN
,	PUNCT
Iran	PROPN
has	AUX
not	PART
spent	VERB
the	DET
last	ADJ
fifteen	NUM
years	NOUN
having	VERB
its	PRON
conventional	ADJ
forces	NOUN
worn	VERB
down	ADP
by	ADP
grueling	ADJ
sanctions	NOUN
,	PUNCT
repeated	VERB
attacks	NOUN
,	PUNCT
and	CCONJ
two	NUM
American	ADJ
-	PUNCT
led	VERB
wars	NOUN
.	PUNCT

#	SYM
2	X
the	DET
decor	NOUN
is	AUX
tasteful	ADJ
and	CCONJ
artistic	ADJ
,	PUNCT
from	ADP
the	DET
comfortable	ADJ
chairs	NOUN
to	ADP
the	DET
elegant	ADJ
light	NOUN
fixtures	NOUN
....	PUNCT
and	CCONJ
(	PUNCT
most	ADV
importantly	ADV
)	PUNCT
#	SYM
3	X
the	DET
food	NOUN
is	AUX
FANTASTIC	ADJ
.	PUNCT
